nome,cognome,oro,argento,bronzo,posizione_migliore
Carlo,Collodel,2,0,0,1
Tito,Sacchi,2,0,0,1
Simone,Petroni,1,1,0,3
Domingo,Dirutigliano,1,1,0,4
Luigi,Loffredo,1,1,0,5
Luca,Palumbo,1,0,0,3
Eyad Lorenzo,Issa,1,0,0,4
Antonio,Napolitano,1,0,0,5
Giacomo,Arienti,0,2,0,9
Gabriele,Maiolino,0,1,1,6
Marco,Colletti,0,1,1,8
Robert-Georgian,Nitu,0,1,0,6
Matteo,Schiff,0,1,0,7
Jacopo,Di Pumpo,0,1,0,7
Mattia Lorenzo,Chiabrando,0,1,0,9
Giovanni,Spadaccini,0,1,0,11
Alessandro,Zanier,0,1,0,11
Salvatore,Abello,0,1,0,12
Maxim,Ozolin,0,1,0,13
Gioele,Pettarini,0,1,0,13
Domenico,Rotolo,0,1,0,14
Riccardo,Sulis,0,1,0,14
Taulant,Arapi,0,1,0,15
Fabio,Brunetto,0,1,0,15
Andrea,Salvatori,0,0,2,25
Matteo,Mello,0,0,2,29
Gabriele,Fazio,0,0,1,16
Davide,Castellani,0,0,1,16
Xuan Qiang,Huang,0,0,1,17
Pimen Flavian,Dei,0,0,1,17
Lorenzo,Cipolletti,0,0,1,18
Luigi,Fanuzzi,0,0,1,19
Romeo,Biancalani,0,0,1,19
Vincenzo,Turturro,0,0,1,20
Mattia,Perfumo,0,0,1,20
Jacopo,Martellotto,0,0,1,21
Riccardo,Azuni,0,0,1,21
Riccardo,Pizzaleo,0,0,1,22
Andrea,Sinibaldi,0,0,1,22
Matteo,Lotito,0,0,1,23
Giacomo,Boschi,0,0,1,23
Antonio,Sgalla,0,0,1,24
Vincenzo,Gallina,0,0,1,24
Lorenzo,Frohmüller,0,0,1,25
Alessio,Doria,0,0,1,26
Lorenzo,Bianco,0,0,1,27
Tommaso,Ventafridda,0,0,1,27
Mattia,Lembo,0,0,1,28
Alessandro,Vettor,0,0,1,29
Alessio,Alchieri,0,0,1,30
Emanuel,Mihali,0,0,1,30
Stefano,Raviola,0,0,1,31
Christian,Moccia,0,0,1,31
Roberto,Chiesa,0,0,1,32
John,Toniutti,0,0,1,32
Iacop,Hafiane,0,0,1,33
Andrea,Bissoli,0,0,1,33
Lorenzo,Bonora,0,0,1,34
Oscar,Urselli,0,0,1,34
Riccardo,Moiso,0,0,1,35
Raffaele,Grieco,0,0,1,36
Matteo Ferdinando,Emolo,0,0,1,36
Kevin,Sciolti,0,0,1,37
Alexandru,Nechita,0,0,1,37
Francesco,Valentini,0,0,1,38
Anthony Gerardo,Giuliano,0,0,1,38
Suqi,Chen,0,0,1,39
Giuseppe,Pasquariello,0,0,1,39
Leonardo,Ferro,0,0,1,40
Tiziano,Radicchi,0,0,1,40
